edge,from_node,to_node
1,1,18
2,18,1
3,1,30
4,30,1
5,1,36
6,36,1
7,2,15
8,15,2
9,2,22
10,22,2
11,2,29
12,29,2
13,3,18
14,18,3
15,3,20
16,20,3
17,3,37
18,37,3
19,4,6
20,6,4
21,4,15
22,15,4
23,4,21
24,21,4
25,5,7
26,7,5
27,5,17
28,17,5
29,5,42
30,42,5
31,6,9
32,9,6
33,6,46
34,46,6
35,7,11
36,11,7
37,7,39
38,39,7
39,8,29
40,29,8
41,8,33
42,33,8
43,8,48
44,48,8
45,9,36
46,36,9
47,9,45
48,45,9
49,10,15
50,15,10
51,10,16
52,16,10
53,10,39
54,39,10
55,11,35
56,35,11
57,11,48
58,48,11
59,12,16
60,16,12
61,12,23
62,23,12
63,12,32
64,32,12
65,13,27
66,27,13
67,13,32
68,32,13
69,13,42
70,42,13
71,14,19
72,19,14
73,14,31
74,31,14
75,14,34
76,34,14
77,16,46
78,46,16
79,17,27
80,27,17
81,17,28
82,28,17
83,18,37
84,37,18
85,19,38
86,38,19
87,19,42
88,42,19
89,20,24
90,24,20
91,20,43
92,43,20
93,21,25
94,25,21
95,21,34
96,34,21
97,22,26
98,26,22
99,22,33
100,33,22
101,23,32
102,32,23
103,23,49
104,49,23
105,24,38
106,38,24
107,24,40
108,40,24
109,25,41
110,41,25
111,25,49
112,49,25
113,26,36
114,36,26
115,26,39
116,39,26
117,27,45
118,45,27
119,28,43
120,43,28
121,28,50
122,50,28
123,29,47
124,47,29
125,30,44
126,44,30
127,30,50
128,50,30
129,31,34
130,34,31
131,31,38
132,38,31
133,33,40
134,40,33
135,35,44
136,44,35
137,35,46
138,46,35
139,37,41
140,41,37
141,40,44
142,44,40
143,41,50
144,50,41
145,43,45
146,45,43
147,47,48
148,48,47
149,47,49
150,49,47
