edge,from_node,to_node
1,1,39
2,1,65
3,1,97
4,2,37
5,2,60
6,2,75
7,3,47
8,3,63
9,3,83
10,4,15
11,4,16
12,4,88
13,5,11
14,5,26
15,5,41
16,6,51
17,6,86
18,6,87
19,7,9
20,7,19
21,7,61
22,8,30
23,8,68
24,8,86
25,9,34
26,9,49
27,10,22
28,10,65
29,10,73
30,11,51
31,11,95
32,12,53
33,12,82
34,12,100
35,13,25
36,13,58
37,13,68
38,14,31
39,14,50
40,14,91
41,15,71
42,15,74
43,16,33
44,16,98
45,17,28
46,17,51
47,17,71
48,18,44
49,18,65
50,18,75
51,19,24
52,19,27
53,20,48
54,20,61
55,20,62
56,21,62
57,21,89
58,21,93
59,22,39
60,22,43
61,23,32
62,23,54
63,23,83
64,24,38
65,24,76
66,25,47
67,25,55
68,26,73
69,26,82
70,27,67
71,27,90
72,28,44
73,28,95
74,29,57
75,29,58
76,29,71
77,30,53
78,30,63
79,31,75
80,31,100
81,32,45
82,32,97
83,33,70
84,33,81
85,34,40
86,34,68
87,35,45
88,35,80
89,35,97
90,36,38
91,36,48
92,36,92
93,37,60
94,37,85
95,38,58
96,39,52
97,40,54
98,40,92
99,41,69
100,41,94
101,42,66
102,42,69
103,42,77
104,43,44
105,43,90
106,45,72
107,46,70
108,46,76
109,46,84
110,47,67
111,48,93
112,49,81
113,49,99
114,50,54
115,50,78
116,52,74
117,52,80
118,53,85
119,55,56
120,55,72
121,56,87
122,56,98
123,57,79
124,57,98
125,59,66
126,59,69
127,59,84
128,60,63
129,61,89
130,62,72
131,64,88
132,64,91
133,64,96
134,66,87
135,67,79
136,70,88
137,73,100
138,74,81
139,76,79
140,77,86
141,77,94
142,78,96
143,78,99
144,80,91
145,82,99
146,83,96
147,84,94
148,85,93
149,89,92
150,90,95
